Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
.,org.pdfsam.alternatemix,AlternateMixModule,settingPanel,Long Statement,The length of the statement "pane.getChildren().addAll(selectionPane`Views.titledPane(DefaultI18nContext.getInstance().i18n("Destination file")`destinationPane));" is 133.
.,org.pdfsam.alternatemix,AlternateMixSelectionPane,AlternateMixSelectionPane,Long Statement,The length of the statement "super(ownerModule`true`true`new TableColumnProvider<?>[]{new LoadingColumn(ownerModule)`FileColumn.NAME`LongColumn.SIZE`IntColumn.PAGES`LongColumn.LAST_MODIFIED`new PageRangesColumn(DefaultI18nContext.getInstance().i18n("Double click to set pages you want to mix (ex: 2 or 5-23 or 2`5-7`12-)"))`new PaceColumn()`new ReverseColumn()});" is 334.
.,org.pdfsam.alternatemix,AlternateMixParametersBuilderTest,build,Magic Number,The method contains a magic number: 2
.,org.pdfsam.alternatemix,AlternateMixParametersBuilderTest,build,Magic Number,The method contains a magic number: 4
.,org.pdfsam.alternatemix,AlternateMixParametersBuilderTest,build,Magic Number,The method contains a magic number: 3
.,org.pdfsam.alternatemix,AlternateMixParametersBuilderTest,build,Magic Number,The method contains a magic number: 2
.,org.pdfsam.alternatemix,AlternateMixParametersBuilderTest,build,Magic Number,The method contains a magic number: 2
.,org.pdfsam.alternatemix,AlternateMixParametersBuilderTest,build,Magic Number,The method contains a magic number: 2
.,org.pdfsam.alternatemix,AlternateMixParametersBuilderTest,build,Magic Number,The method contains a magic number: 4
.,org.pdfsam.alternatemix,AlternateMixParametersBuilderTest,build,Magic Number,The method contains a magic number: 2
.,org.pdfsam.alternatemix,AlternateMixSelectionPaneTest,validInput,Magic Number,The method contains a magic number: 3
.,org.pdfsam.alternatemix,AlternateMixSelectionPaneTest,validInput,Magic Number,The method contains a magic number: 10
.,org.pdfsam.alternatemix,AlternateMixSelectionPaneTest,validInput,Magic Number,The method contains a magic number: 3
.,org.pdfsam.alternatemix,AlternateMixSelectionPaneTest,validInput,Magic Number,The method contains a magic number: 4
.,org.pdfsam.alternatemix,AlternateMixSelectionPaneTest,validInput,Magic Number,The method contains a magic number: 5
.,org.pdfsam.alternatemix,AlternateMixSelectionPaneTest,validInput,Magic Number,The method contains a magic number: 8
.,org.pdfsam,InputPdfArgumentsController,accept,Long Statement,The length of the statement "pdfs.stream().filter(s -> !s.startsWith("-")).filter(FileType.PDF::matches).map(Paths::get).filter(Files::isReadable).forEach(event.pdfs::add);" is 143.
.,org.pdfsam,PdfsamApp,verboseIfRequired,Complex Conditional,The conditional expression rawParameters.contains("--verbose") || rawParameters.contains("-verbose") || rawParameters.contains("-v") is complex.
